mutant serotonin control 4.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
,,6959,r,,6959,2.138713714,6959,6959,2,,5,,,44901,-442.609639,11,44690,-3.125845671,4,0,0,0,0,0,0,3,25.57920707,0,0,,,29781,1.115578675,29781,29781,2,,7,,,100971,11.15695874,100969,100974,7,1,8,,,,,,,,,
,,7327,i,,7327,6.28668567,7322,7328,8,-1,8,,,45334,-212.3664777,10,45131,73.46872711,18,45384,10.49834824,7,45113,45.75665665,16,1,20.76418027,0,0,,,29794,22.442428,29792,29797,7,-1,7,,,100976,0.817825984,100976,100976,2,,8,,,,,,,,,
,,7438,e,,7438,16.83668283,7433,7444,13,1,6,,,46244,-252.5085421,10,46008,47.73308563,13,46256,-21.05082512,8,45975,29.33730125,22,1,22.72102194,0,0,,,29840,9.936366961,29838,29843,7,-1,7,,,101024,2.674377289,101023,101025,4,-1,8,,,,,,,,,
,,7452,E,,7452,40.9303504,7445,7460,17,1,4,,,47141,-39.86467594,14,46964,74.97242737,23,0,0,0,46944,32.37029648,24,4,45.21534982,2,15.47654445,,,30929,22.524298,30929,30930,3,,7,,,,,,,,,,,,,,,,,,
,,7642,R,,7642,41.18280707,7641,7643,4,-1,3,,,47155,-170.2607696,4,0,0,0,0,0,0,0,0,0,78,1310.223241,0,0,,,30963,25.40137804,30961,30965,6,-1,7,,,,,,,,,,,,,,,,,,
,,7759,e,,7759,14.51516293,7759,7760,3,,6,,,47417,-411.6734266,10,47276,3.569051266,5,47480,-25.53784752,11,0,0,0,0,0,0,0,,,31348,18.65736743,31343,31350,9,-1,7,,,,,,,,,,,,,,,,,,
,,7769,E,,7769,32.98425183,7761,7777,18,1,4,,,47753,-182.5320762,10,47571,61.42481613,12,47773,6.32128191,5,47558,51.3783989,13,1,20.20594274,0,0,,,31696,14.57265793,31695,31699,6,1,7,,,,,,,,,,,,,,,,,,
,,7815,P,,7815,11.91065747,7805,7818,15,-1,7,,,48660,-410.8995357,10,48479,57.73155975,15,48668,4.856342793,5,48460,21.93248177,21,1,33.9478288,0,0,,,31703,3.569056627,31702,31705,5,1,7,,,,,,,,,,,,,,,,,,
,,7935,R,,7935,133.8142933,7929,7938,11,-1,3,,,48968,-406.696708,11,48802,62.08514023,15,48984,-40.14873886,12,48792,-105.6970749,6,1,15.87580201,0,0,,,32042,13.93424582,32038,32044,8,-1,7,,,,,,,,,,,,,,,,,,
,,8036,i,,8036,6.910979954,8035,8037,4,1,8,,,49522,-574.7926494,10,49359,84.77568817,9,49543,-39.13901138,12,0,0,0,0,0,0,0,,,32046,0.928275653,32046,32046,2,,7,,,,,,,,,,,,,,,,,,
